mach,altitude_m,h_m,r_m,theta_deg,T_ambient_K,P_ambient_Pa,p_recovery,dc60,meets_mil,P_fan_face_Pa,T2_K,P2_Pa,T3_K,P3_Pa,T4_K,P4_Pa,thrust_N,tsfc,isp_s,fuel_flow_kg_s,V_exit_m_s
1.6,10000,0.15,0.04,10.0,223.15,26434.8,0.991442,0.064707,1,26208.5,548.68,471753.5,1395.85,457600.8,1034.14,136618.9,5465.24,0.00018297,557.109,1.0,588.444
1.6,10000,0.15,0.04,15.0,223.15,26434.8,0.985852,0.067781,1,26060.8,548.68,469093.6,1395.85,455020.8,1034.14,135848.7,5465.24,0.00018297,557.109,1.0,588.444
1.6,10000,0.15,0.04,20.0,223.15,26434.8,0.990036,0.06548,1,26171.4,548.68,471084.7,1395.85,456952.1,1034.14,136425.3,5465.24,0.00018297,557.109,1.0,588.444
1.6,10000,0.15,0.04,25.0,223.15,26434.8,0.979823,0.071097,1,25901.4,548.68,466225.1,1395.85,452238.3,1034.14,135017.9,5465.24,0.00018297,557.109,1.0,588.444
1.6,10000,0.2,0.04,5.0,223.15,26434.8,0.957265,0.103504,0,25305.1,548.68,455491.0,1395.85,441826.3,1034.14,131909.4,5465.24,0.00018297,557.109,1.0,588.444
1.6,10000,0.2,0.04,10.0,223.15,26434.8,0.991442,0.084707,1,26208.5,548.68,471753.5,1395.85,457600.8,1034.14,136618.9,5465.24,0.00018297,557.109,1.0,588.444
1.6,10000,0.2,0.04,15.0,223.15,26434.8,0.985852,0.087781,1,26060.8,548.68,469093.6,1395.85,455020.8,1034.14,135848.7,5465.24,0.00018297,557.109,1.0,588.444
1.6,10000,0.2,0.04,20.0,223.15,26434.8,0.990036,0.08548,1,26171.4,548.68,471084.7,1395.85,456952.1,1034.14,136425.3,5465.24,0.00018297,557.109,1.0,588.444
1.6,10000,0.2,0.04,25.0,223.15,26434.8,0.979823,0.091097,1,25901.4,548.68,466225.1,1395.85,452238.3,1034.14,135017.9,5465.24,0.00018297,557.109,1.0,588.444
1.6,10000,0.25,0.04,5.0,223.15,26434.8,0.957265,0.123504,0,25305.1,548.68,455491.0,1395.85,441826.3,1034.14,131909.4,5465.24,0.00018297,557.109,1.0,588.444
